place_fips,STATEFP,Govt_level_x,placename,Govt_level_y,_merge
99131,12,1,Walton County,0,both
99133,12,1,Washington County,1,both
99133,12,1,Washington County,0,both
99001,13,1,Appling County,1,both
99003,13,1,Atkinson County,1,both
99005,13,1,Bacon County,1,both
99007,13,1,Baker County,1,both
99009,13,1,Baldwin County,1,both
99011,13,1,Banks County,1,both
99013,13,1,Barrow County,1,both
99015,13,1,Bartow County,1,both
99017,13,1,Ben Hill County,1,both
99019,13,1,Berrien County,1,both
99021,13,1,Bibb County,1,both
99021,13,1,Bibb County,5,both
99023,13,1,Bleckley County,1,both
99025,13,1,Brantley County,1,both
99027,13,1,Brooks County,1,both
99029,13,1,Bryan County,1,both
99031,13,1,Bulloch County,1,both
99033,13,1,Burke County,1,both
99035,13,1,Butts County,1,both
99037,13,1,Calhoun County,1,both
99037,13,1,Calhoun County,0,both
99039,13,1,Camden County,1,both
99043,13,1,Candler County,1,both
99045,13,1,Carroll County,1,both
99047,13,1,Catoosa County,1,both
99049,13,1,Charlton County,1,both
99051,13,1,Chatham County,1,both
99051,13,1,Chatham County,5,both
99053,13,1,Chattahoochee County,1,both
99055,13,1,Chattooga County,1,both
99057,13,1,Cherokee County,1,both
99059,13,1,Clarke County,,left_only
99061,13,1,Clay County,1,both
99063,13,1,Clayton County,1,both
99065,13,1,Clinch County,1,both
99067,13,1,Cobb County,1,both
99067,13,1,Cobb County,5,both
99069,13,1,Coffee County,1,both
99071,13,1,Colquitt County,1,both
99073,13,1,Columbia County,1,both
99075,13,1,Cook County,1,both
99077,13,1,Coweta County,1,both
99079,13,1,Crawford County,1,both
99081,13,1,Crisp County,1,both
99083,13,1,Dade County,1,both
99085,13,1,Dawson County,1,both
99087,13,1,Decatur County,1,both
99087,13,1,Decatur County,4,both
99089,13,1,DeKalb County,1,both
99091,13,1,Dodge County,1,both
99093,13,1,Dooly County,1,both
99095,13,1,Dougherty County,1,both
99095,13,1,Dougherty County,5,both
99095,13,1,Dougherty County,99,both
99095,13,1,Dougherty County,0,both
99097,13,1,Douglas County,1,both
99097,13,1,Douglas County,0,both
99099,13,1,Early County,1,both
99101,13,1,Echols County,1,both
99103,13,1,Effingham County,1,both
99105,13,1,Elbert County,1,both
99107,13,1,Emanuel County,1,both
99109,13,1,Evans County,1,both
99111,13,1,Fannin County,1,both
99113,13,1,Fayette County,1,both
99115,13,1,Floyd County,1,both
99117,13,1,Forsyth County,1,both
99119,13,1,Franklin County,1,both
99121,13,1,Fulton County,1,both
99121,13,1,Fulton County,5,both
99123,13,1,Gilmer County,1,both
99125,13,1,Glascock County,1,both
99127,13,1,Glynn County,1,both
99127,13,1,Glynn County,0,both
99129,13,1,Gordon County,1,both
99129,13,1,Gordon County,0,both
99131,13,1,Grady County,1,both
99133,13,1,Greene County,1,both
99135,13,1,Gwinnett County,1,both
99135,13,1,Gwinnett County,5,both
99137,13,1,Habersham County,1,both
99139,13,1,Hall County,1,both
99141,13,1,Hancock County,1,both
99143,13,1,Haralson County,1,both
99145,13,1,Harris County,1,both
99147,13,1,Hart County,1,both
99149,13,1,Heard County,1,both
99151,13,1,Henry County,1,both
99153,13,1,Houston County,1,both
99155,13,1,Irwin County,1,both
99157,13,1,Jackson County,1,both
99159,13,1,Jasper County,1,both
99161,13,1,Jeff Davis County,1,both
99163,13,1,Jefferson County,1,both
99165,13,1,Jenkins County,1,both
99167,13,1,Johnson County,1,both
99169,13,1,Jones County,1,both
99171,13,1,Lamar County,1,both
99173,13,1,Lanier County,1,both
99175,13,1,Laurens County,1,both
99177,13,1,Lee County,1,both
99179,13,1,Liberty County,1,both
99179,13,1,Liberty County,0,both
99181,13,1,Lincoln County,1,both
99183,13,1,Long County,1,both
99185,13,1,Lowndes County,1,both
99187,13,1,Lumpkin County,1,both
99189,13,1,McDuffie County,1,both
99191,13,1,McIntosh County,1,both
99193,13,1,Macon County,0,both
99193,13,1,Macon County,1,both
99195,13,1,Madison County,1,both
99197,13,1,Marion County,1,both
99199,13,1,Meriwether County,1,both
99201,13,1,Miller County,1,both
99205,13,1,Mitchell County,1,both
99207,13,1,Monroe County,1,both
99207,13,1,Monroe County,0,both
99209,13,1,Montgomery County,1,both
99211,13,1,Morgan County,1,both
99213,13,1,Murray County,1,both
99215,13,1,Muscogee County,,left_only
99217,13,1,Newton County,1,both
99217,13,1,Newton County,0,both
99219,13,1,Oconee County,1,both
99221,13,1,Oglethorpe County,1,both
99223,13,1,Paulding County,1,both
99225,13,1,Peach County,1,both
99227,13,1,Pickens County,1,both
99229,13,1,Pierce County,1,both
99231,13,1,Pike County,1,both
99233,13,1,Polk County,1,both
99235,13,1,Pulaski County,1,both
99237,13,1,Putnam County,1,both
99239,13,1,Quitman County,1,both
99241,13,1,Rabun County,1,both
99243,13,1,Randolph County,1,both
99245,13,1,Richmond County,,left_only
99247,13,1,Rockdale County,1,both
99249,13,1,Schley County,1,both
99251,13,1,Screven County,1,both
99253,13,1,Seminole County,1,both
99255,13,1,Spalding County,1,both
99257,13,1,Stephens County,1,both
99259,13,1,Stewart County,1,both
99261,13,1,Sumter County,1,both
99263,13,1,Talbot County,1,both
99265,13,1,Taliaferro County,1,both
99267,13,1,Tattnall County,1,both
99269,13,1,Taylor County,1,both
99271,13,1,Telfair County,1,both
99273,13,1,Terrell County,1,both
99275,13,1,Thomas County,1,both
99277,13,1,Tift County,1,both
99279,13,1,Toombs County,1,both
99281,13,1,Towns County,1,both
99283,13,1,Treutlen County,1,both
99285,13,1,Troup County,1,both
99287,13,1,Turner County,1,both
99289,13,1,Twiggs County,1,both
99291,13,1,Union County,1,both
99293,13,1,Upson County,1,both
99295,13,1,Walker County,1,both
99297,13,1,Walton County,1,both
99299,13,1,Ware County,1,both
99301,13,1,Warren County,1,both
99303,13,1,Washington County,1,both
99305,13,1,Wayne County,1,both
99307,13,1,Webster County,1,both
99309,13,1,Wheeler County,1,both
99311,13,1,White County,1,both
99313,13,1,Whitfield County,1,both
99313,13,1,Whitfield County,0,both
99315,13,1,Wilcox County,1,both
99317,13,1,Wilkes County,1,both
99319,13,1,Wilkinson County,1,both
99321,13,1,Worth County,1,both
99001,15,1,Hawaii County,1,both
99003,15,1,Honolulu County,,left_only
99005,15,1,Kalawao County,,left_only
99007,15,1,Kauai County,1,both
99009,15,1,Maui County,1,both
99001,16,1,Ada County,1,both
99001,16,1,Ada County,0,both
99003,16,1,Adams County,1,both
