GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimates (as of July 1) - 2010,Population Estimates (as of July 1) - 2011
0500000US12039,12039,"Gadsden County, Florida",46389,46389,46422,46151
0500000US12041,12041,"Gilchrist County, Florida",16939,16939,16977,17004
0500000US12043,12043,"Glades County, Florida",12884,12884,12839,12635
0500000US12045,12045,"Gulf County, Florida",15863,15863,15856,15844
0500000US12047,12047,"Hamilton County, Florida",14799,14799,14736,14671
0500000US12049,12049,"Hardee County, Florida",27731,27731,27809,27887
0500000US12051,12051,"Hendry County, Florida",39140,39140,39139,39089
0500000US12053,12053,"Hernando County, Florida",172778,172778,173022,173094
0500000US12055,12055,"Highlands County, Florida",98786,98786,98750,98630
0500000US12057,12057,"Hillsborough County, Florida",1229226,1229226,1233373,1267775
0500000US12059,12059,"Holmes County, Florida",19927,19927,19864,19873
0500000US12061,12061,"Indian River County, Florida",138028,138028,138268,138894
0500000US12063,12063,"Jackson County, Florida",49746,49746,49687,49292
0500000US12065,12065,"Jefferson County, Florida",14761,14761,14761,14658
0500000US12067,12067,"Lafayette County, Florida",8870,8870,8894,8942
0500000US12069,12069,"Lake County, Florida",297052,297052,297875,301019
0500000US12071,12071,"Lee County, Florida",618754,618754,620450,631330
0500000US12073,12073,"Leon County, Florida",275487,275487,275876,277971
0500000US12075,12075,"Levy County, Florida",40801,40801,40730,40156
0500000US12077,12077,"Liberty County, Florida",8365,8365,8357,8314
0500000US12079,12079,"Madison County, Florida",19224,19226,19234,19115
0500000US12081,12081,"Manatee County, Florida",322833,322833,323453,327142
0500000US12083,12083,"Marion County, Florida",331298,331298,331407,332529
0500000US12085,12085,"Martin County, Florida",146318,146318,146488,147495
0500000US12086,12086,"Miami-Dade County, Florida",2496435,2496435,2503034,2554766
0500000US12087,12087,"Monroe County, Florida",73090,73090,73204,73873
0500000US12089,12089,"Nassau County, Florida",73314,73314,73505,74195
0500000US12091,12091,"Okaloosa County, Florida",180822,180822,180801,183482
0500000US12093,12093,"Okeechobee County, Florida",39996,39996,40043,40140
0500000US12095,12095,"Orange County, Florida",1145956,1145956,1148787,1169107
0500000US12097,12097,"Osceola County, Florida",268685,268685,269742,276163
0500000US12099,12099,"Palm Beach County, Florida",1320134,1320134,1322924,1335187
0500000US12101,12101,"Pasco County, Florida",464697,464697,465536,466457
0500000US12103,12103,"Pinellas County, Florida",916542,916542,916220,917398
0500000US12105,12105,"Polk County, Florida",602095,602095,602924,609492
0500000US12107,12107,"Putnam County, Florida",74364,74366,74283,74041
0500000US12109,12109,"St. Johns County, Florida",190039,190039,191242,195823
0500000US12111,12111,"St. Lucie County, Florida",277789,277789,278732,280379
0500000US12113,12113,"Santa Rosa County, Florida",151372,151372,152020,154104
0500000US12115,12115,"Sarasota County, Florida",379448,379448,380043,382213
0500000US12117,12117,"Seminole County, Florida",422718,422718,423211,425071
0500000US12119,12119,"Sumter County, Florida",93420,93420,94320,97756
0500000US12121,12121,"Suwannee County, Florida",41551,41551,41536,41972
0500000US12123,12123,"Taylor County, Florida",22570,22568,22575,22691
0500000US12125,12125,"Union County, Florida",15535,15535,15553,15388
0500000US12127,12127,"Volusia County, Florida",494593,494597,494652,494804
0500000US12129,12129,"Wakulla County, Florida",30776,30776,30856,30978
0500000US12131,12131,"Walton County, Florida",55043,55043,55300,55793
0500000US12133,12133,"Washington County, Florida",24896,24896,24910,24935
0500000US13001,13001,"Appling County, Georgia",18236,18236,18327,18420
0500000US13003,13003,"Atkinson County, Georgia",8375,8375,8366,8413
0500000US13005,13005,"Bacon County, Georgia",11096,11096,11083,11203
0500000US13007,13007,"Baker County, Georgia",3451,3451,3391,3085
0500000US13009,13009,"Baldwin County, Georgia",45720,45720,45030,44417
0500000US13011,13011,"Banks County, Georgia",18395,18395,18407,18251
0500000US13013,13013,"Barrow County, Georgia",69367,69367,69724,69912
0500000US13015,13015,"Bartow County, Georgia",100157,100157,100166,100421
