Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
1,99121,Talladega County,121,1,2010,82291.0,53739.0,26055.0,1671.0,3077.0,26286.0,3053.0,27453.0,1968.0,12386.0,2149.0,13669.0,1069.0,170.0,85.0,602.0,0.11705851023358442,0.11120824682184097
1,99123,Tallapoosa County,123,1,2010,41616.0,29087.0,11083.0,1042.0,1666.0,14272.0,1479.0,14815.0,774.0,5119.0,926.0,5964.0,621.0,126.0,73.0,421.0,0.11673206278026906,0.09983125210934864
1,99125,Tuscaloosa County,125,1,2010,194656.0,129004.0,57611.0,5949.0,15630.0,63656.0,15616.0,65348.0,5686.0,26342.0,6266.0,31269.0,3438.0,990.0,677.0,2511.0,0.24553851954254116,0.23896676256350616
1,99127,Walker County,127,1,2010,67023.0,61146.0,3928.0,1307.0,3688.0,29727.0,3544.0,31419.0,316.0,1881.0,274.0,2047.0,772.0,134.0,90.0,535.0,0.12406230026575167,0.1127979884783093
1,99129,Washington County,129,1,2010,17581.0,11508.0,4380.0,151.0,724.0,5747.0,631.0,5761.0,359.0,2111.0,319.0,2269.0,86.0,12.0,9.0,65.0,0.12597877153297374,0.10952959555632703
1,99131,Wilcox County,131,1,2010,11670.0,3126.0,8465.0,72.0,145.0,1540.0,124.0,1586.0,633.0,3937.0,626.0,4528.0,38.0,6.0,1.0,34.0,0.09415584415584416,0.07818411097099622
1,99133,Winston County,133,1,2010,24484.0,23409.0,115.0,639.0,1316.0,11451.0,1294.0,11958.0,10.0,57.0,8.0,58.0,355.0,53.0,46.0,284.0,0.1149244607457864,0.10821207559792607
1,99013,Aleutians East Borough,13,2,2010,3141.0,660.0,219.0,385.0,43.0,476.0,18.0,184.0,39.0,201.0,2.0,18.0,311.0,22.0,5.0,74.0,0.09033613445378151,0.09782608695652174
1,99016,Aleutians West Census Area,16,2,2010,5561.0,2004.0,332.0,726.0,122.0,1403.0,55.0,601.0,35.0,305.0,3.0,27.0,545.0,54.0,18.0,181.0,0.08695652173913043,0.09151414309484193
1,99020,Anchorage Municipality,20,2,2010,291826.0,192498.0,16226.0,22061.0,14770.0,99875.0,12612.0,92623.0,1575.0,8618.0,1272.0,7608.0,10982.0,2259.0,2040.0,11079.0,0.1478848560700876,0.13616488345227426
